,full file paths,md5,sha256,sha1,path parts
0,/home/writer/Firefox_wallpaper.png,e5887aa54d52f3c93757c3cc86dcca84,ce6e226ded846156f90bb6bdba1e6f07e18c372f44bfa2f4668b67d0cb047771,73987c60fd919152caa69cbd8b0f8c2208959763,"['', 'home', 'writer', 'Firefox_wallpaper.png']"
1,/home/writer/Desktop/010editor-desktop.desktop,8f69390c7c44da175f915a475d78885d,c7c4c21b445152fd034239c23c69c1c6de0761946774215101a6d412ed322865,3b5567634829c2e431b1bf55254d266155e21f3e,"['', 'home', 'writer', 'Desktop', '010editor-desktop.desktop']"
2,/home/writer/Downloads/background.jpg,a4895ae47892b8a5877d0509dc7812d4,83a9cdee140939e7fa175978c388562271cbd26e4f7bf0e8ce876fc61d536d1d,5b02275b17c11bf309979190601a4d154befd987,"['', 'home', 'writer', 'Downloads', 'background.jpg']"
3,/home/writer/Downloads/icon.jpg,7603a745699f9691af32ee1d3411f0c6,011090e3a4c85361b6a9a8b5405641b45f7dad139c551fcb797e70c8fc208e1a,8f6646d092d9a2f6b4dadf7b2332dbebb30a3b5c,"['', 'home', 'writer', 'Downloads', 'icon.jpg']"
4,/home/writer/Downloads/Current Activity.pdf,f3f05e9ed57f2be92dd25905079ec57c,5ac57302e33a3600d2ac3db5754b521cac1a157e5303076d236b5bfc9e54811d,46da5ba9819d8b5a251b056802c1c17fd4c23474,"['', 'home', 'writer', 'Downloads', 'Current Activity.pdf']"
5,/home/writer/Downloads/gabc.jpg,3cc6825071ce88dc57081b6644709f24,6191844cc692f12e4689954c1fdea4dbc63b082fd38000bc73200c9b0564240d,a5864d51a83ca346e3606d37c5cc159903abc374,"['', 'home', 'writer', 'Downloads', 'gabc.jpg']"
6,/home/writer/Downloads/pre_auth_confirmation-c034d7e2b3a594cf.pdf,e2ccfc04e66884f09203752ddaf9215c,183b3de15973833729e2ef6050c5b1ea9cfd323d119c00bb3072116b5bb11afd,fe23aec3384595be684a9033090f573cefe3c76a,"['', 'home', 'writer', 'Downloads', 'pre_auth_confirmation-c034d7e2b3a594cf.pdf']"
7,/home/writer/Downloads/Report 4 & 5.pdf,1ac9c77a91aaafdf170305907b0a5a1d,c3f9df45639ea5587d3aa3050642c9aec43669cd120c7f940d761c09a07eac55,6593e38ad957087aa65967546c9a1b2e02daa103,"['', 'home', 'writer', 'Downloads', 'Report 4 & 5.pdf']"
8,/home/writer/Downloads/Report 4 & 5.docx,ce2f77fe447262f52689a5ec63901827,0da78a737e6b60aef7a9e4515d3c8a04a37cb9f75858ca389729615b0ea8a0e1,9616b03632b40a444e513e3e7e5c7a2272deb209,"['', 'home', 'writer', 'Downloads', 'Report 4 & 5.docx']"
9,/home/writer/Downloads/Untitled Diagram.drawio,d1375f8cb3c3fc8c7cd542a126917249,214eb1a2f5f9823e2904ac5d4a3ee8e53c312ab362ad38ff26e2bf8c26e6de4e,ab06101c4ef544d7e02552ff82cc5e7af2679014,"['', 'home', 'writer', 'Downloads', 'Untitled Diagram.drawio']"
10,/home/writer/Downloads/Untitled Diagram.png,09fed9b02b0a16fac73cd44e9960c2de,141c482785f54e728369b29822e980df5f4de2864f80f2531a4840a1bee200bc,0a3013e5bc5e342c11801f69b0c9498c807570fc,"['', 'home', 'writer', 'Downloads', 'Untitled Diagram.png']"
11,/home/writer/Downloads/Couse of infection.png,ee80ca89a8b7175f04a82b08637cd64d,ec06efb0d92801cbc57d06850f7b285464983d65fe0ecbef90ef26922c5f8376,0861d2b5bb8cf8a9461782ac230b3f47cbf55225,"['', 'home', 'writer', 'Downloads', 'Couse of infection.png']"
12,/home/writer/Downloads/Quiz2.7z,228bfeff1e431dbb9f513e2906128dc4,7168e5722a218f31f44678185594f1d7ced51ee6937a60bb36955d93ebe78629,3f782014f3f0e7723770c61e2cb95364d709e9d9,"['', 'home', 'writer', 'Downloads', 'Quiz2.7z']"
13,/home/writer/Downloads/quiz2.png,31d42fb97fafaff4d5810bd08b54fb42,a5412bff3e68e9ba093994c31b88d803a7c6d374d3000b932e20dc00149e0272,3481876b14bc6b51e2c0d69cdf52347e5f7b4eb1,"['', 'home', 'writer', 'Downloads', 'quiz2.png']"
14,/home/writer/Downloads/alphabet.png,2dccde9434f1d2e5b579d5c89950b4df,79a63cae3a93e857bd9bcdbf12c1003cf0a28a26633c2d066e88e35ad1377699,d40a5e26139777536046f3cb74406d211b86a9e2,"['', 'home', 'writer', 'Downloads', 'alphabet.png']"
15,/home/writer/Downloads/calligraphy practice sheet 2.jpg,53231be241e15596c37c1c4f7b52d979,4ffbe0befcbf6e0421c8697982ebacff63159de5934bcee7de718ce547c7c3db,79dcdbc9b54cf0694e74aad5882049d5d0f42cdf,"['', 'home', 'writer', 'Downloads', 'calligraphy practice sheet 2.jpg']"
16,/home/writer/Downloads/case.pdf,279f7774f34ef462f87cb91b187c715e,2f63a10f56d722c72e28b87c3eb404a462763c378a19f8150711e8a13dd97d31,6b878a70bc665f01f68ab8168458aeb6cb0a370a,"['', 'home', 'writer', 'Downloads', 'case.pdf']"
17,/home/writer/Downloads/fact_act-fc83576a08bbbf94.pdf,b700cd306e991a3ec46ca9034af6f157,5138364f581e254adc461a9b1eba40b02938455f2b61df3aa168621a908f3b4b,4534f2042c4f385e8b38d66e71dd0b3517c4eba5,"['', 'home', 'writer', 'Downloads', 'fact_act-fc83576a08bbbf94.pdf']"
18,/home/writer/Downloads/VMware-Horizon-Client-2006-8.0.0-16522670.x64.bundle,a6a6150d4d25c3aadc471bcfcc4fd820,cd9b3666a5127cfd387af8fdb22467e6ffd673bbb555af9ccd0cad78909b09ca,7b5bdf5f191e48240edaa3fb203abc18c8959c4c,"['', 'home', 'writer', 'Downloads', 'VMware-Horizon-Client-2006-8.0.0-16522670.x64.bundle']"
19,/home/writer/Downloads/Christmas Eve-7.JPG,5a341a664b57c8931c20555105f1a58d,cb06b599b6b3bc83bde03fe5350c02dd89bb6173009d621475cd63f4412ff16e,cdf08ee5badec6e9f490416f569ef6cb60becb83,"['', 'home', 'writer', 'Downloads', 'Christmas Eve-7.JPG']"
20,/home/writer/Downloads/Criminal Procedure Syllabus Spring 2021.pdf,f91b3b9f47ac8d5de277c4e7a83cf23b,f51bec3dc58cc95f0069ae3d828d2f51e78986aba365485592fe3eb6479e92f9,3cea7913fd36bf31f2080436aa4741bb152c22bb,"['', 'home', 'writer', 'Downloads', 'Criminal Procedure Syllabus Spring 2021.pdf']"
21,/home/writer/Downloads/Corrections Syllabus 2021.pdf,53a7d120525e78f703b6d51662bcd4e2,c3bb3603ce016f8a2a546706a8969b8a0cc65ab458dfb41fbf51932d28581782,dd380bec06a280e7a60e3b65709c5f78d231cd66,"['', 'home', 'writer', 'Downloads', 'Corrections Syllabus 2021.pdf']"
22,/home/writer/Downloads/Criminology Syllabus 2021.docx,b3e61f31a133b217f7332bebbc2212cb,cc7aa0faaf57fb04c8a73c111bb271e9dae85a036fbe7a268a59863c7b58fe45,c490d62a7f2e9183e6a81733fd369b68265a4bef,"['', 'home', 'writer', 'Downloads', 'Criminology Syllabus 2021.docx']"
