,full file paths,md5,sha256,sha1,path parts
0,/home/writer/Desktop/010editor-desktop.desktop,eb63ad5dcfdece5f50bdb35d144c7926,398f8e433046e998db7b8c90438afbf03ce33476fcd18e51c74ad62bc0fa125a,46f30d70438ced6698683eb3ef43c2b6c5cd4405,"['', 'home', 'writer', 'Desktop', '010editor-desktop.desktop']"
1,/home/writer/Documents/viewAttachedFile.pdf,1792e3d0040a1a44daa858c4dc6ac852,d4cafb0591dd4931a604b17f2db77d833ea4bb0a651b26ec449d7ec3a1e03663,e83a94fa899020eeedd3b4f6d6b1da62ad047a5f,"['', 'home', 'writer', 'Documents', 'viewAttachedFile.pdf']"
2,/home/writer/Documents/eOffer Content.pdf,2d643a068626c83c019fb57b5ab32018,7a49e9959f024118f9bb88b10adf9f9bf3f8e50da7a2e253710cfe257537dc12,ac785952f6a5afc2b94974b6c4c382ddd0535cf4,"['', 'home', 'writer', 'Documents', 'eOffer Content.pdf']"
3,/home/writer/Documents/SweetScape/010 Templates/Repository/BMP.bt,0e6d78f5018cf675e881822f4cefe2dc,6dae69d090c858df2c492d8edc4e4ec4f42d13c8f791c0651d2f85e69caea80b,0ac87db01fe4be24e50d59f5930abee1faaae158,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Templates', 'Repository', 'BMP.bt']"
4,/home/writer/Documents/SweetScape/010 Templates/Repository/WAV.bt,3a1bb12b30ad1f0c1e6a6fb0cbd63653,cc1daf5f0d8f6d3e02db1cfab01bf76f70c6fbb9e36b9d567c649b015c82d9d2,f34f1b2247a20a2b021aacc32fd37d3296467129,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Templates', 'Repository', 'WAV.bt']"
5,/home/writer/Documents/SweetScape/010 Templates/Repository/ZIP.bt,69cebe12e50f19d2af3b34fda35acfd3,07ca40f84cc9f8203de76e3e0dbe766bdd8ca1e1a929bfea95bc614d055b006b,3e78c2919c75aa677cf63e1c28edcc844a79467d,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Templates', 'Repository', 'ZIP.bt']"
6,/home/writer/Documents/SweetScape/010 Templates/Repository/010.bt,38ef5827f0b6510148b2072947deb44d,c8933c1abf6b5be2f48aae46a769bc56d787648a882cf48f4ea555d39c79836e,a45a20ff8411b6abd4925e19751904c9496716cd,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Templates', 'Repository', '010.bt']"
7,/home/writer/Documents/SweetScape/010 Templates/Repository/CPP.bt,34ef573960029427d06ee9863cb70883,c0738d6bbb64aba9bf562cf13a3807febf5610d59647661e13189b3e8228d3d6,13a5bff0480df7b0d56eaa252f9163fe43ca54c6,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Templates', 'Repository', 'CPP.bt']"
8,/home/writer/Documents/SweetScape/010 Templates/Repository/PHP.bt,f68e8a568e74b39c6f73c9c953360704,e78f1d08d78573aff85975881d8e1ec0529b95207466f96a0f3b2db79fa63004,cf3a5b18efbf7689645cc1891d4f9f1b255de791,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Templates', 'Repository', 'PHP.bt']"
9,/home/writer/Documents/SweetScape/010 Templates/Repository/XML.bt,b4c1f9f204666d57e4716dd8f2845520,b88be237793039060b59eebeadb148b41adf7a6af039e5c1f561a4370c629ea3,9ef8c77f3a6df26d5327200c0c30f1a883760d06,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Templates', 'Repository', 'XML.bt']"
10,/home/writer/Documents/SweetScape/010 Templates/Repository/HTML.bt,f299298ab4de34be87681b59cc873ade,8db878388ac7507af9ef48c9886baa59ec84351369c39cefabc935ff3c99eede,c0a45607400a5c967dcd2ecb92886188624c610f,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Templates', 'Repository', 'HTML.bt']"
11,/home/writer/Documents/SweetScape/010 Scripts/Repository/Randomize.1sc,af5f8c20f4fc91bdeb8e8acefae72ab3,2db6084a5591b710f8ef0f7e0d0f830c371894a4f9fb70d34e59bb5169f481eb,8ab5a3311f7a29f9c6b247f7107c13c6226335f1,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Scripts', 'Repository', 'Randomize.1sc']"
12,/home/writer/Documents/SweetScape/010 Scripts/Repository/IsASCII.1sc,459a566cb93440c7d78559fc20091720,2b495edb20f7d01a4d0accf17e79c066b3d5220ff9818ff7cd0ee6b3379be5de,f20ab18dcbe7e0b6c4858c54e454773a48848f40,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Scripts', 'Repository', 'IsASCII.1sc']"
13,/home/writer/Documents/SweetScape/010 Scripts/Repository/MultiplePaste.1sc,3ff3f5d0d8d1ec0c0add3048c47dad88,c51231a7950fdd50661603f8b2abc3a57dcadda28a2353dc8cf32067aaabc10e,68275b43936a85c477a0dfab5e9a34c456975c6f,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Scripts', 'Repository', 'MultiplePaste.1sc']"
14,/home/writer/Documents/SweetScape/010 Scripts/Repository/SplitFile.1sc,010b8f7085cd2cf9bff0e27f80065341,89beef78aaeabac9daef2b6f51de460b58ce833f40c2ab1dfe520da052727d64,227f30f5daa217c702afb6467d81b019b335abf9,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Scripts', 'Repository', 'SplitFile.1sc']"
15,/home/writer/Documents/SweetScape/010 Scripts/Repository/JoinFile.1sc,cf835f6c8c9d7c5260dda56a8c51b278,72777d6890784dd4fd6b6863667b1dce0a1c8434ca87f8d20cbd552f2b7c4827,33900ac79b13bf2d3741bb8d40459f0b10732949,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Scripts', 'Repository', 'JoinFile.1sc']"
16,/home/writer/Documents/school/Technical Writing/external-content.duckduckgo.com.jpg,15993ab3b5b876a44d2a02714b611104,564921e972d3c279e0986f309ddedbcefab68026a1e758d75ae9de2acc2fccb3,0b695189dd8e5f6b931d5270deca57cc9cd6f2c0,"['', 'home', 'writer', 'Documents', 'school', 'Technical Writing', 'external-content.duckduckgo.com.jpg']"
17,/home/writer/Documents/school/Technical Writing/external-content.duckduckgo.com2.jpg,91dd55c5af649c703e866d25eaddf8af,75cf29b8e07c751012aada7e8fba75ba34f5fd5ec06591b3211eb19b4f2e08db,b68700c09abac806ac2ab04a7c6f5bc49c0b01a3,"['', 'home', 'writer', 'Documents', 'school', 'Technical Writing', 'external-content.duckduckgo.com2.jpg']"
18,/home/writer/Documents/school/Technical Writing/phones.png,0347ff5ad8940203e2d5d7d0352b9149,7cb0e137beb3e1934e79067819f017bc42c954b728b769b0d0e3b19c290aa53b,a8a9305d41a069f0313ae0533e4c542823bde1a0,"['', 'home', 'writer', 'Documents', 'school', 'Technical Writing', 'phones.png']"
19,/home/writer/Documents/school/Technical Writing/template.odp,7f1a15e3db1eaedb1f73ffcc778068b0,d6a4b13d96f978d27ff3895b6badbd65c19951ae4f724e4c4a49db8b5ae5fa42,fc5edaf07199bba3758160ab372186793de48ef8,"['', 'home', 'writer', 'Documents', 'school', 'Technical Writing', 'template.odp']"
20,/home/writer/Documents/school/code/Better File System Search Program.ipynb,28dff2696fd5e93446ce7b366d4511cc,d32c8205761475870350f1184d991238d6d0b67c0ce0c85f1e0167750b96f517,75a86c040925140c167a635bf18e96530db12771,"['', 'home', 'writer', 'Documents', 'school', 'code', 'Better File System Search Program.ipynb']"
